Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand,filename
"https://www.thredup.com/product/women-ann-taylor-pink-blazer/73992591?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/221444702/retina.jpg,Outerwear,"['Work', 'Jacket', 'Pink']",No Fabric Content,Size 0 ,Detailed measurements are not available for this item.,7.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-lands-end-brown-fleece/72748349?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/217967307/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Brown']","95% Polyester, 5% Elastane",Size XS ,Detailed measurements are not available for this item.,7.99,Lands' End,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-banana-republic-white-jacket/71225608?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/213256354/retina.jpg,Outerwear,"['Jacket', 'Solid', 'White and Ivory']","93% Cotton, 7% Spandex",Size XS ,Detailed measurements are not available for this item.,7.99,Banana Republic,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-talbots-yellow-jacket/70604950?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/211399620/retina.jpg,Outerwear,"['Boho', 'Utility jacket', 'Solid', 'Yellow and Tan']","51% Cotton, 42% Nylon, 7% Metallic",Size 2 ,Detailed measurements are not available for this item.,7.99,Talbots,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-blue-blazer/70186800?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/210171722/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Blue']",100% Cotton,Size XS ,Detailed measurements are not available for this item.,7.99,Ann Taylor LOFT,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-anne-klein-gray-blazer/68085184?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/203481294/retina.jpg,Outerwear,"['Work', 'Jacket', 'Solid', 'Gray']","82% Polyester, 15% Rayon, 3% Spandex",Size 2 ,Detailed measurements are not available for this item.,4.99,Anne Klein,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
"https://www.thredup.com/product/women-polyester-ann-taylor-black-blazer/68078866?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/203492295/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Solid', 'Black']","65% Polyester, 27% Rayon, 8% Spandex",Size 0 ,Detailed measurements are not available for this item.,4.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
"https://www.thredup.com/product/women-wool-talbots-red-wool-blazer/66765125?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/199425217/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Solid', 'Red and Burgundy']","72% Wool, 21% Viscose, 7% Nylon",Size 2 ,Detailed measurements are not available for this item.,4.99,Talbots,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-brown-jacket/66727757?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/199360963/retina.jpg,Outerwear,"['Jacket', 'Solid', 'Brown']","99% Cotton, 1% Spandex",Size 2 ,Detailed measurements are not available for this item.,4.99,Ann Taylor LOFT,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
"https://www.thredup.com/product/women-polyester-anne-klein-gray-blazer/66705575?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/199210311/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Striped print', 'Gray']","60% Polyester, 40% Wool",Size 2 ,Detailed measurements are not available for this item.,4.99,Anne Klein,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
"https://www.thredup.com/product/women-ann-taylor-loft-tan-blazer/66623654?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198975918/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Plaid print', 'Tan']",No Fabric Content,Size 0 ,Detailed measurements are not available for this item.,4.99,Ann Taylor LOFT,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-tan-blazer/66623337?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198965398/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Solid', 'Tan and Ivory']","65% Cotton, 33% Rayon, 2% Spandex",Size 0 ,Detailed measurements are not available for this item.,4.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
"https://www.thredup.com/product/women-cotton-talbots-orange-jacket/66507525?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198629540/retina.jpg,Outerwear,"['Ruffle accents', 'Frills & ruffles', 'Jacket', 'Solid', 'Orange and Red']","98% Cotton, 2% Spandex",Size 2 ,Detailed measurements are not available for this item.,4.99,Talbots,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
"https://www.thredup.com/product/women-polyester-ann-taylor-factory-gray-blazer/69910455?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/209234312/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Gray']","41% Polyester, 40% Ramie, 19% Rayon",Size 0 ,Detailed measurements are not available for this item.,7.99,Ann Taylor Factory,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets2.csv
